,title,published_date,viewCount,likeCount,commentCount,Month
0,"('Electoral Bonds | Supreme Court Struck Down Electoral Bond | ADR | Election Commission |',)",2024-02-18 15:54:12+00:00,4308842,217659,8521.0,Feb
1,"('Railway Information | ALP Seat increase | Railway Physical Protest | Railway Technician Vacancy |',)",2024-01-27 16:44:20+00:00,1684894,133736,8289.0,Jan
2,"('26 January | Republic Day | ALP Seat Increase | NEET Test | KGS NEET |',)",2024-01-26 16:55:03+00:00,1948951,156225,7827.0,Jan
3,"('Happy New Year 2024 | Happy New Year | UPSC New Batch | 70 BPSC New Batch',)",2024-01-01 15:09:19+00:00,1741555,143377,10693.0,Jan
4,"('Luneburg Lens | GPS Spoofing | F-35 Missing | Pilotless Mig23 | Afterburner in Jet | Hezbolah-Israel',)",2023-12-27 04:54:07+00:00,3908523,145349,4745.0,Dec
5,"('Bihar Daroga Paper Leak | Bihar Daroga Question Discussion Khan Sir |',)",2023-12-25 06:29:19+00:00,2433244,124756,9323.0,Dec
6,"('C-295 Aircraft delivery | ALH Dhruv mark-3 | P-8i | MQ-9 Drone | Indian Navy',)",2023-11-26 16:12:00+00:00,1838301,99135,3260.0,Nov
7,"('Types of Navy Ship | Destroyer | Frigate | corvette | Aircraft carrier | Hovercraft | 1971 War Navy',)",2023-11-21 03:42:21+00:00,2160950,117123,9196.0,Nov
8,"('Submarine Types | Akula Class | Kilo Class | Scorpion Class | Tyan Class | AIP | Nuclear Submarine',)",2023-11-17 16:29:06+00:00,2766496,131552,5258.0,Nov
9,"('Submarine | Diesel-Electric Submarine | AIP in Submarine | P-8i | Torpedo | Depth Charge | Sonobouy',)",2023-11-16 03:46:35+00:00,2652223,130358,3261.0,Nov
10,"('Maldives Election Md Muizzu | Israel-Hamas | Bhutan China meeting | Qatar Death Sentenced to Indian',)",2023-11-14 05:08:01+00:00,6484787,285665,11896.0,Nov
11,"('Jews | How Israel Become so Powerful | Jewish | Top Jewish Businessman | Hamas | Israel Palestine |',)",2023-11-13 12:59:43+00:00,8167618,321879,16784.0,Nov
12,"('Attack on Pak  Airbase | TJP | TTP | BLA | Pig hit F-16 Fighter | CPEC | Terrorist Attack in Pak',)",2023-11-12 07:18:15+00:00,3532104,176707,5830.0,Nov
13,"('Submarine ballistic missile | Bulava | Russia Ukraine War | S-400 Payment by India | Happy Diwali',)",2023-11-11 11:15:57+00:00,3953039,186405,7692.0,Nov
14,"('Happy Raksha Bandhan 2023 | Rakhi Festival | Khan Sir Raksha Bandhan',)",2023-08-30 10:31:38+00:00,7855912,512600,17836.0,Aug
15,"('Wagner Group | Coup in Russia | Moscow march | Who is Yevgeny Prigozhin | Ukraine - Russia War',)",2023-07-02 02:53:03+00:00,6912009,300205,11555.0,Jul
16,"('What is NATO | NATO+ | CENTO |SEATO | WARSAW PACT | BAGHDAD PACT | UPSC New Batch Launched',)",2023-06-28 17:18:56+00:00,6351942,272308,10593.0,Jun
